name,cases,year
UZB,0,2002
BGD,206,2002
BTN,11,2002
IDN,1729,2002
IND,27270,2002
LKA,30,2002
MMR,2802,2002
NPL,62,2002
PRK,0,2002
THA,361,2002
TLS,199,2002
CHN,42,2002
KHM,803,2002
KOR,0,2002
LAO,124,2002
MYS,38,2002
PHL,180,2002
PNG,2635,2002
SLB,513,2002
VNM,271,2002
VUT,52,2002
AGO,22694,2003
BDI,8294,2003
BEN,9668,2003
BFA,38366,2003
BWA,4,2003
CAF,8393,2003
CMR,18374,2003
COD,105469,2003
COG,2630,2003
COM,89,2003
CPV,4,2003
DZA,0,2003
ERI,112,2003
ETH,18702,2003
GAB,254,2003
GHA,15909,2003
GIN,12844,2003
GMB,468,2003
GNB,1003,2003
GNQ,682,2003
KEN,13021,2003
LBR,5326,2003
MDG,2917,2003
MLI,21772,2003
MOZ,39238,2003
MRT,1154,2003
MWI,11643,2003
NAM,172,2003
NER,20714,2003
NGA,226464,2003
RWA,4248,2003
SEN,5034,2003
SLE,13478,2003
SSD,8739,2003
STP,193,2003
SWZ,0,2003
TCD,8926,2003
TGO,5897,2003
TZA,30612,2003
UGA,45326,2003
ZAF,142,2003
ZMB,10421,2003
ZWE,2730,2003
ARG,1,2003
BLZ,0,2003
BOL,12,2003
BRA,104,2003
COL,118,2003
CRI,0,2003
DOM,12,2003
ECU,46,2003
GTM,16,2003
GUY,53,2003
HND,9,2003
HTI,195,2003
MEX,0,2003
NIC,7,2003
PAN,4,2003
PER,95,2003
PRY,0,2003
SLV,0,2003
SUR,18,2003
VEN,27,2003
MAR,0,2003
AFG,798,2003
ARE,0,2003
DJI,4,2003
EGY,0,2003
IRN,5,2003
IRQ,0,2003
OMN,0,2003
PAK,991,2003
SAU,0,2003
SDN,4409,2003
SOM,3040,2003
SYR,0,2003
YEM,2964,2003
ARM,0,2003
AZE,0,2003
GEO,0,2003
KAZ,0,2003
KGZ,0,2003
TJK,0,2003
TKM,0,2003
TUR,0,2003
UZB,0,2003
BGD,209,2003
BTN,14,2003
IDN,1752,2003
IND,27862,2003
LKA,4,2003
MMR,2828,2003
NPL,46,2003
PRK,0,2003
THA,204,2003
TLS,125,2003
CHN,52,2003
KHM,1062,2003
KOR,0,2003
LAO,110,2003
MYS,21,2003
PHL,257,2003
PNG,2816,2003
SLB,456,2003
VNM,197,2003
VUT,68,2003
AGO,22169,2004
BDI,6988,2004
BEN,10839,2004
BFA,34556,2004
BWA,3,2004
CAF,9087,2004
CMR,19432,2004
COD,112034,2004
COG,2505,2004
COM,89,2004
CPV,4,2004
DZA,0,2004
ERI,32,2004
ETH,21110,2004
GAB,219,2004
GHA,15105,2004
GIN,10985,2004
GMB,449,2004
GNB,816,2004
GNQ,707,2004
KEN,11667,2004
LBR,4520,2004
MDG,2062,2004
MLI,22353,2004
MOZ,34157,2004
MRT,1161,2004
MWI,10288,2004
NAM,270,2004
NER,19908,2004
NGA,226562,2004
RWA,3592,2004
SEN,4419,2004
SLE,11968,2004
SSD,8047,2004
STP,169,2004
SWZ,1,2004
TCD,9005,2004
TGO,6473,2004
TZA,27362,2004
UGA,37194,2004
ZAF,88,2004
ZMB,9007,2004
ZWE,2738,2004
ARG,0,2004
BLZ,1,2004
BOL,9,2004
BRA,102,2004
COL,126,2004
CRI,0,2004
DOM,16,2004
ECU,37,2004
GTM,14,2004
GUY,51,2004
HND,12,2004
HTI,198,2004
MEX,0,2004
NIC,1,2004
PAN,2,2004
PER,98,2004
PRY,0,2004
SLV,0,2004
SUR,7,2004
VEN,30,2004
MAR,0,2004
AFG,350,2004
ARE,0,2004
DJI,5,2004
EGY,0,2004
IRN,1,2004
IRQ,0,2004
OMN,0,2004
PAK,643,2004
SAU,0,2004
SDN,4099,2004
SOM,3111,2004
SYR,0,2004
YEM,2391,2004
ARM,0,2004
AZE,0,2004
GEO,0,2004
KAZ,0,2004
KGZ,0,2004
TJK,0,2004
TKM,0,2004
TUR,0,2004
UZB,0,2004
BGD,213,2004
BTN,7,2004
IDN,1484,2004
IND,31217,2004
LKA,1,2004
MMR,2853,2004
NPL,24,2004
PRK,0,2004
THA,230,2004
TLS,449,2004
CHN,31,2004
KHM,895,2004
KOR,0,2004
LAO,100,2004
MYS,35,2004
PHL,233,2004
PNG,3517,2004
SLB,652,2004
VNM,115,2004
VUT,61,2004
AGO,21709,2005
BDI,5970,2005
BEN,11896,2005
BFA,31546,2005
BWA,3,2005
CAF,9530,2005
CMR,20137,2005
COD,112725,2005
COG,2366,2005
COM,89,2005
CPV,2,2005
DZA,0,2005
ERI,59,2005
ETH,15072,2005
GAB,201,2005
GHA,14693,2005
GIN,9895,2005
GMB,441,2005
GNB,742,2005
GNQ,712,2005
KEN,10427,2005
LBR,3847,2005
MDG,1638,2005
MLI,23245,2005
MOZ,29860,2005
MRT,1179,2005
MWI,9813,2005
NAM,167,2005
NER,19595,2005
NGA,230356,2005
RWA,3224,2005
SEN,4066,2005
SLE,10999,2005
SSD,7498,2005
STP,85,2005
SWZ,0,2005
TCD,9464,2005
TGO,6808,2005
TZA,25049,2005
UGA,28954,2005
ZAF,63,2005
ZMB,7899,2005
ZWE,2751,2005
ARG,0,2005
BLZ,0,2005
BOL,12,2005
BRA,123,2005
COL,87,2005
CRI,0,2005
DOM,16,2005
ECU,22,2005
GTM,19,2005
GUY,69,2005
HND,11,2005
HTI,201,2005
MEX,0,2005
NIC,6,2005
PAN,1,2005
PER,80,2005
PRY,0,2005
SLV,0,2005
SUR,1,2005
VEN,34,2005
MAR,0,2005
AFG,259,2005
ARE,0,2005
DJI,5,2005
EGY,0,2005
IRN,1,2005
IRQ,0,2005
OMN,0,2005
PAK,923,2005
SAU,0,2005
SDN,4144,2005
SOM,3652,2005
SYR,0,2005
YEM,2495,2005
ARM,0,2005
AZE,0,2005
GEO,0,2005
