name,cases,year
SLB,56,2016
SYC,0,2016
SDN,5600,2016
SWE,26,2016
SGP,48,2016
SVN,7,2016
SVK,25,2016
SLE,3400,2016
SMR,0,2016
SEN,2500,2016
SOM,11000,2016
SUR,13,2016
SDS,5600,2016
STP,54,2016
SLV,67,2016
SYR,25,2016
SWZ,350,2016
TCD,3700,2016
TGO,310,2016
THA,9600,2016
TJK,770,2016
TLS,1100,2016
TKM,600,2016
TUN,150,2016
TON,1,2016
TUR,550,2016
TTO,21,2016
TUV,2,2016
TZA,27000,2016
UKR,4500,2016
UGA,9400,2016
USA,560,2016
URY,67,2016
UZB,1900,2016
VCT,1,2016
VEN,830,2016
VNM,13000,2016
VUT,28,2016
WSM,1,2016
YEM,2000,2016
ZAF,21000,2016
ZMB,4800,2016
ZWE,1200,2016
AND,0,2017
ARE,61,2017
AFG,11000,2017
ATG,1,2017
ALB,8,2017
ARM,45,2017
AGO,19000,2017
ARG,630,2017
AUT,36,2017
AUS,50,2017
AZE,600,2017
BIH,110,2017
BRB,2,2017
BGD,55000,2017
BEL,33,2017
BFA,1700,2017
BGR,98,2017
BHR,7,2017
BDI,2000,2017
BEN,1200,2017
BRN,23,2017
BOL,1300,2017
BRA,5200,2017
BHS,2,2017
BTN,120,2017
BWA,410,2017
BLR,330,2017
BLZ,7,2017
CAN,100,2017
COD,49000,2017
CAF,5300,2017
COG,3000,2017
CHE,17,2017
CIV,5800,2017
COK,0,2017
CHL,410,2017
CMR,7400,2017
CHN,37000,2017
COL,1100,2017
CRI,37,2017
CUB,39,2017
CPV,24,2017
CYP,3,2017
CZE,38,2017
DEU,300,2017
DJI,300,2017
DNK,14,2017
DMA,3,2017
DOM,300,2017
DZA,3100,2017
ECU,640,2017
EST,23,2017
EGY,440,2017
ERI,600,2017
ESP,250,2017
ETH,27000,2017
FIN,35,2017
FJI,38,2017
FSM,19,2017
FRA,430,2017
GAB,1700,2017
GBR,260,2017
GRD,2,2017
GEO,160,2017
GHA,11000,2017
GMB,510,2017
GIN,2800,2017
GNQ,680,2017
GRC,58,2017
GTM,380,2017
GNB,1400,2017
GUY,95,2017
HND,410,2017
HRV,61,2017
HTI,1000,2017
HUN,63,2017
IDN,94000,2017
IRL,18,2017
ISR,13,2017
IND,448000,2017
IRQ,940,2017
IRN,850,2017
ISL,2,2017
ITA,310,2017
JAM,7,2017
JOR,9,2017
JPN,3700,2017
KEN,25000,2017
KGZ,380,2017
KHM,3000,2017
KIR,45,2017
COM,66,2017
KNA,1,2017
KOR,2200,2017
KWT,20,2017
KAZ,580,2017
LAO,2600,2017
LBN,52,2017
LCA,2,2017
LKA,750,2017
LBR,2700,2017
LSO,1000,2017
LTU,160,2017
LUX,3,2017
LVA,75,2017
LBY,550,2017
MAR,2900,2017
MCO,0,2017
MDA,170,2017
MNE,1,2017
MDG,13000,2017
MHL,23,2017
MKD,13,2017
MLI,1700,2017
MMR,26000,2017
MNG,330,2017
MRT,760,2017
MLT,1,2017
MUS,21,2017
MDV,11,2017
MWI,2900,2017
MEX,2200,2017
MYS,1500,2017
MOZ,6200,2017
NAM,1500,2017
NER,4000,2017
NGA,121000,2017
NIC,180,2017
NLD,24,2017
NOR,18,2017
NPL,18000,2017
NRU,1,2017
NIU,0,2017
NZL,12,2017
OMN,18,2017
PAN,210,2017
PER,2200,2017
PNG,5300,2017
PHL,28000,2017
PAK,46000,2017
POL,560,2017
PRT,200,2017
PLW,2,2017
PRY,240,2017
QAT,8,2017
ROU,950,2017
SRB,80,2017
RUS,10000,2017
RWA,610,2017
SAU,830,2017
SLB,52,2017
SYC,2,2017
SDN,5100,2017
SWE,23,2017
SGP,37,2017
SVN,7,2017
SVK,27,2017
SLE,3000,2017
SMR,0,2017
SEN,2400,2017
SOM,10000,2017
SUR,13,2017
SDS,5600,2017
STP,41,2017
SLV,61,2017
SYR,25,2017
SWZ,340,2017
TCD,3600,2017
TGO,270,2017
THA,9700,2017
TJK,760,2017
TLS,1300,2017
TKM,610,2017
TUN,150,2017
TON,1,2017
TUR,510,2017
TTO,22,2017
TUV,2,2017
TZA,25000,2017
UKR,4000,2017
UGA,10000,2017
USA,540,2017
URY,66,2017
UZB,1600,2017
VCT,1,2017
VEN,730,2017
VNM,11000,2017
VUT,27,2017
WSM,3,2017
YEM,2000,2017
ZAF,21000,2017
ZMB,5000,2017
ZWE,1200,2017
AND,0,2018
ARE,62,2018
AFG,11000,2018
ATG,1,2018
ALB,8,2018
ARM,30,2018
AGO,19000,2018
ARG,670,2018
AUT,49,2018
AUS,56,2018
AZE,600,2018
BIH,100,2018
BRB,2,2018
BGD,47000,2018
BEL,33,2018
BFA,1600,2018
BGR,98,2018
BHR,8,2018
BDI,2200,2018
BEN,1100,2018
BRN,17,2018
BOL,1200,2018
BRA,5200,2018
BHS,2,2018
BTN,120,2018
BWA,400,2018
BLR,260,2018
BLZ,7,2018
CAN,99,2018
COD,44000,2018
CAF,5200,2018
COG,3000,2018
CHE,17,2018
CIV,5700,2018
COK,0,2018
CHL,350,2018
CMR,7700,2018
CHN,34000,2018
COL,1200,2018
CRI,38,2018
CUB,30,2018
CPV,24,2018
CYP,5,2018
CZE,39,2018
DEU,310,2018
DJI,290,2018
DNK,10,2018
DMA,3,2018
DOM,250,2018
DZA,3200,2018
ECU,610,2018
EST,13,2018
EGY,450,2018
ERI,550,2018
ESP,250,2018
ETH,25000,2018
FIN,30,2018
FJI,39,2018
FSM,13,2018
FRA,430,2018
GAB,1700,2018
GBR,260,2018
GRD,2,2018
GEO,150,2018
GHA,11000,2018
GMB,540,2018
GIN,2800,2018
GNQ,660,2018
GRC,52,2018
GTM,360,2018
GNB,1400,2018
GUY,98,2018
HND,440,2018
HRV,60,2018
HTI,1000,2018
HUN,84,2018
IDN,93000,2018
IRL,18,2018
ISR,20,2018
IND,445000,2018
IRQ,910,2018
IRN,860,2018
ISL,2,2018
ITA,300,2018
JAM,7,2018
JOR,9,2018
JPN,3500,2018
KEN,19000,2018
KGZ,360,2018
KHM,2900,2018
KIR,45,2018
COM,70,2018
KNA,1,2018
KOR,2100,2018
KWT,15,2018
KAZ,500,2018
LAO,2200,2018
LBN,53,2018
LCA,2,2018
LKA,750,2018
LBR,2700,2018
LSO,1100,2018
LTU,120,2018
LUX,2,2018
LVA,65,2018
LBY,400,2018
MAR,2900,2018
MCO,0,2018
MDA,170,2018
MNE,1,2018
MDG,13000,2018
MHL,46,2018
MKD,25,2018
MLI,1500,2018
MMR,20000,2018
MNG,330,2018
MRT,750,2018
MLT,1,2018
MUS,17,2018
MDV,11,2018
MWI,3000,2018
MEX,2100,2018
MYS,1600,2018
MOZ,5700,2018
NAM,1500,2018
NER,4000,2018
NGA,127000,2018
NIC,140,2018
NLD,28,2018
NOR,18,2018
NPL,17000,2018
NRU,1,2018
NIU,0,2018
NZL,13,2018
OMN,17,2018
PAN,200,2018
PER,2400,2018
PNG,5000,2018
PHL,29000,2018
PAK,44000,2018
POL,570,2018
PRT,240,2018
PLW,2,2018
PRY,240,2018
QAT,8,2018
ROU,930,2018
SRB,79,2018
RUS,9200,2018
RWA,650,2018
SAU,810,2018
SLB,54,2018
SYC,2,2018
SDN,4700,2018
SWE,22,2018
SGP,34,2018
SVN,6,2018
SVK,25,2018
SLE,2600,2018
SMR,0,2018
SEN,2600,2018
SOM,10000,2018
SUR,13,2018
SDS,4100,2018
STP,45,2018
SLV,110,2018
SYR,26,2018
SWZ,390,2018
TCD,3600,2018
TGO,270,2018
THA,9800,2018
TJK,750,2018
TLS,1200,2018
TKM,620,2018
TUN,140,2018
TON,1,2018
TUR,460,2018
TTO,22,2018
TUV,2,2018
TZA,23000,2018
UKR,4000,2018
UGA,8400,2018
USA,580,2018
URY,68,2018
UZB,1300,2018
VCT,1,2018
VEN,710,2018
VNM,10000,2018
VUT,22,2018
WSM,1,2018
YEM,2100,2018
ZAF,21000,2018
ZMB,4900,2018
ZWE,1200,2018
AND,0,2019
ARE,62,2019
AFG,9800,2019
ATG,1,2019
ALB,8,2019
ARM,35,2019
AGO,17000,2019
ARG,650,2019
AUT,41,2019
AUS,44,2019
AZE,600,2019
BIH,95,2019
BRB,2,2019
BGD,39000,2019
BEL,33,2019
BFA,2000,2019
BGR,98,2019
BHR,8,2019
BDI,2500,2019
BEN,960,2019
BRN,22,2019
BOL,1200,2019
BRA,5200,2019
BHS,2,2019
BTN,140,2019
BWA,700,2019
BLR,270,2019
BLZ,7,2019
CAN,78,2019
COD,44000,2019
CAF,5100,2019
COG,2900,2019
CHE,17,2019
CIV,5600,2019
COK,0,2019
CHL,360,2019
CMR,7400,2019
CHN,31000,2019
COL,1200,2019
CRI,38,2019
CUB,35,2019
CPV,25,2019
CYP,5,2019
CZE,23,2019
DEU,270,2019
DJI,270,2019
DNK,10,2019
DMA,3,2019
DOM,190,2019
DZA,2800,2019
ECU,570,2019
EST,16,2019
EGY,450,2019
ERI,540,2019
ESP,230,2019
ETH,22000,2019
FIN,30,2019
FJI,40,2019
FSM,12,2019
FRA,440,2019
GAB,1900,2019
GBR,230,2019
GRD,2,2019
GEO,140,2019
GHA,11000,2019
GMB,480,2019
GIN,2400,2019
GNQ,830,2019
GRC,44,2019
GTM,390,2019
GNB,1400,2019
GUY,100,2019
HND,460,2019
HRV,36,2019
HTI,1000,2019
HUN,62,2019
IDN,91000,2019
IRL,18,2019
ISR,21,2019
IND,441000,2019
IRQ,870,2019
IRN,870,2019
ISL,2,2019
ITA,300,2019
JAM,7,2019
JOR,9,2019
JPN,3300,2019
KEN,19000,2019
KGZ,290,2019
KHM,2800,2019
KIR,46,2019
COM,73,2019
KNA,1,2019
KOR,1900,2019
KWT,16,2019
KAZ,440,2019
LAO,2000,2019
LBN,60,2019
LCA,2,2019
LKA,750,2019
LBR,2800,2019
LSO,1300,2019
LTU,120,2019
LUX,2,2019
LVA,65,2019
LBY,790,2019
MAR,2900,2019
MCO,0,2019
MDA,160,2019
MNE,1,2019
MDG,12000,2019
MHL,24,2019
MKD,9,2019
