name,cases,year
BGR,-1,2013
BDI,-1,2013
CAN,-1,2013
CPV,-1,2013
CRI,-1,2013
HRV,-1,2013
CYP,-1,2013
CZE,-1,2013
DNK,-1,2013
DJI,-1,2013
DMA,-1,2013
ECU,-1,2013
EGY,-1,2013
GNQ,-1,2013
ERI,-1,2013
EST,-1,2013
FIN,-1,2013
FRA,-1,2013
GAB,-1,2013
GEO,-1,2013
DEU,-1,2013
GHA,-1,2013
GRC,-1,2013
GNB,-1,2013
HTI,-1,2013
HUN,-1,2013
ISL,-1,2013
IRL,-1,2013
ISR,-1,2013
ITA,-1,2013
JAM,-1,2013
KAZ,-1,2013
KEN,-1,2013
KGZ,-1,2013
LVA,-1,2013
LBN,-1,2013
LSO,-1,2013
LBR,-1,2013
LBY,-1,2013
LTU,-1,2013
LUX,-1,2013
MWI,-1,2013
MLT,-1,2013
MRT,-1,2013
MUS,-1,2013
MCO,-1,2013
MNE,-1,2013
MOZ,-1,2013
NAM,-1,2013
NLD,-1,2013
NOR,-1,2013
POL,-1,2013
PRT,-1,2013
MDA,-1,2013
ROU,-1,2013
RUS,-1,2013
RWA,-1,2013
KNA,-1,2013
VCT,-1,2013
SMR,-1,2013
STP,-1,2013
SRB,-1,2013
SYC,-1,2013
SLE,-1,2013
SVK,-1,2013
SVN,-1,2013
SOM,-1,2013
ZAF,-1,2013
ESP,-1,2013
SWZ,-1,2013
SWE,-1,2013
CHE,-1,2013
SYR,-1,2013
TJK,-1,2013
MKD,-1,2013
TGO,-1,2013
TON,-1,2013
TTO,-1,2013
TUN,-1,2013
TUR,-1,2013
TKM,-1,2013
UGA,-1,2013
UKR,-1,2013
GBR,-1,2013
USA,-1,2013
UZB,-1,2013
VUT,-1,2013
VEN,-1,2013
ZMB,-1,2013
ZWE,-1,2013
DZA,0,2014
ATG,0,2014
BHS,0,2014
BLZ,0,2014
BRN,0,2014
CHL,0,2014
COK,0,2014
PRK,0,2014
DMA,0,2014
SLV,0,2014
GMB,0,2014
GTM,0,2014
IRQ,0,2014
JOR,0,2014
KWT,0,2014
LBN,0,2014
LSO,0,2014
LBY,0,2014
MDV,0,2014
MHL,0,2014
MNG,0,2014
NRU,0,2014
NIC,0,2014
OMN,0,2014
PLW,0,2014
QAT,0,2014
KNA,0,2014
VCT,0,2014
SAU,0,2014
SYC,0,2014
SGP,0,2014
SUR,0,2014
TUN,0,2014
TUV,0,2014
USA,0,2014
URY,0,2014
VUT,0,2014
AFG,1,2014
AUS,1,2014
ERI,1,2014
FJI,1,2014
PAN,1,2014
WSM,1,2014
BTN,2,2014
JPN,2,2014
KIR,2,2014
MAR,2,2014
KOR,2,2014
TTO,2,2014
GUY,3,2014
GAB,4,2014
FSM,4,2014
PER,4,2014
CUB,5,2014
LBR,5,2014
MYS,5,2014
SOM,5,2014
COM,6,2014
KHM,7,2014
SLB,7,2014
IRN,8,2014
RWA,8,2014
TLS,8,2014
CAF,9,2014
MEX,11,2014
MLI,13,2014
DOM,14,2014
VNM,20,2014
TGO,21,2014
CMR,22,2014
ARG,27,2014
PNG,28,2014
SEN,29,2014
YEM,29,2014
THA,31,2014
LAO,33,2014
PRY,37,2014
GIN,38,2014
BEN,45,2014
EGY,47,2014
BFA,49,2014
COL,52,2014
PHL,56,2014
TCD,65,2014
UGA,77,2014
PAK,90,2014
NER,101,2014
SDN,118,2014
NPL,123,2014
LKA,147,2014
SDS,155,2014
CHN,165,2014
CIV,218,2014
MDG,265,2014
TZA,331,2014
ETH,384,2014
BGD,409,2014
NGA,411,2014
MMR,415,2014
COD,469,2014
IDN,1596,2014
BRA,2034,2014
IND,5794,2014
ALB,-1,2014
AND,-1,2014
AGO,-1,2014
ARM,-1,2014
AUT,-1,2014
AZE,-1,2014
BHR,-1,2014
BRB,-1,2014
BLR,-1,2014
BEL,-1,2014
BOL,-1,2014
BIH,-1,2014
BWA,-1,2014
BGR,-1,2014
BDI,-1,2014
CAN,-1,2014
CPV,-1,2014
COG,-1,2014
CRI,-1,2014
HRV,-1,2014
CYP,-1,2014
CZE,-1,2014
DNK,-1,2014
DJI,-1,2014
ECU,-1,2014
GNQ,-1,2014
EST,-1,2014
FIN,-1,2014
FRA,-1,2014
GEO,-1,2014
DEU,-1,2014
GHA,-1,2014
GRC,-1,2014
GRD,-1,2014
GNB,-1,2014
HTI,-1,2014
HND,-1,2014
HUN,-1,2014
ISL,-1,2014
IRL,-1,2014
ISR,-1,2014
ITA,-1,2014
JAM,-1,2014
KAZ,-1,2014
KEN,-1,2014
KGZ,-1,2014
LVA,-1,2014
LTU,-1,2014
LUX,-1,2014
MWI,-1,2014
MLT,-1,2014
MRT,-1,2014
MUS,-1,2014
MCO,-1,2014
MNE,-1,2014
MOZ,-1,2014
NAM,-1,2014
NLD,-1,2014
NZL,-1,2014
NIU,-1,2014
NOR,-1,2014
POL,-1,2014
PRT,-1,2014
MDA,-1,2014
ROU,-1,2014
RUS,-1,2014
LCA,-1,2014
SMR,-1,2014
STP,-1,2014
SRB,-1,2014
SLE,-1,2014
SVK,-1,2014
SVN,-1,2014
