name,cases,year
HTI,530,2021
HND,7304,2021
HKG,65,2021
HUN,29649,2021
ISL,8,2021
IND,332062,2021
IDN,121956,2021
IRN,76383,2021
IRQ,11345,2021
IRL,3675,2021
IMN,42,2021
ISR,4918,2021
ITA,63243,2021
CIV,577,2021
JAM,2171,2021
JPN,14979,2021
JOR,8819,2021
KAZ,10750,2021
KEN,3708,2021
KWT,1534,2021
KGZ,1445,2021
LAO,372,2021
LVA,3935,2021
LBN,7634,2021
LSO,614,2021
LBR,204,2021
LBY,4232,2021
LIE,30,2021
LTU,5929,2021
LUX,417,2021
MAC,0,2021
MDG,766,2021
MWI,2175,2021
MYS,31016,2021
MDV,214,2021
MLI,391,2021
MLT,257,2021
MHL,0,2021
MTQ,736,2021
MRT,516,2021
MUS,752,2021
MYT,130,2021
MEX,174388,2021
MDA,6705,2021
MCO,35,2021
MNG,2058,2021
MNE,1729,2021
MSR,0,2021
MAR,7461,2021
MOZ,1840,2021
MMR,16586,2021
NAM,3428,2021
NPL,9738,2021
NLD,9492,2021
NCL,281,2021
NZL,26,2021
NIC,47,2021
NER,171,2021
NGA,1741,2021
MKD,5457,2021
NOR,869,2021
OMN,2617,2021
PAK,18822,2021
PSE,3265,2021
PAN,3452,2021
PNG,581,2021
PRY,14383,2021
PER,164973,2021
PHL,42260,2021
POL,68500,2021
PRT,12049,2021
QAT,373,2021
REU,367,2021
ROU,42985,2021
RUS,251841,2021
RWA,1258,2021
KOR,4663,2021
KNA,28,2021
LCA,290,2021
MAF,46,2021
SPM,0,2021
WSM,0,2021
SMR,41,2021
STP,40,2021
SAU,2654,2021
SEN,1480,2021
SRB,9503,2021
SYC,134,2021
SLE,47,2021
SGP,798,2021
SXM,48,2021
SVK,14497,2021
SVN,2892,2021
SLB,0,2021
SOM,1003,2021
ZAF,62676,2021
SSD,72,2021
ESP,38568,2021
LKA,14775,2021
VCT,81,2021
SDN,1863,2021
SUR,1067,2021
SWE,6544,2021
CHE,4639,2021
SYR,2182,2021
TWN,843,2021
TJK,34,2021
TZA,716,2021
THA,21637,2021
TLS,122,2021
TGO,180,2021
TTO,2723,2021
TUN,20893,2021
TUR,61480,2021
TCA,20,2021
ARE,1495,2021
UGA,3043,2021
GBR,75112,2021
UKR,77366,2021
URY,5988,2021
USA,493151,2021
UZB,871,2021
VUT,1,2021
VAT,0,2021
VEN,4299,2021
VNM,32359,2021
WLF,7,2021
ESH,0,2021
YEM,1374,2021
ZMB,3346,2021
ZWE,4634,2021

